Condition,Generation,width(um),Lb(um),Ld(um),growth rate(1/min),Doubling time(min)
"Gel pad, LB",G2,1.021646253,3.645969454,5.079937405,0.009368396,35.59939481
"Gel pad, LB",G2,0.927170029,3.67968264,6.479657721,0.009269511,61.33684231
"Gel pad, LB",G2,0.979369839,3.582473945,5.771621518,0.008023498,59.78623178
"Gel pad, LB",G2,0.983353183,3.230020468,4.780409005,0.007657242,51.60322441
"Gel pad, LB",G2,0.982139443,2.708292488,4.503314314,0.008239542,62.16298158
"Gel pad, LB",G2,1.000041967,3.042407305,4.775551182,0.009047684,49.46888708
"Gel pad, LB",G2,1.076304603,2.906734244,5.407886753,0.009462412,65.97413129
"Gel pad, LB",G2,1.01402826,3.700718591,6.641417032,0.008644821,67.96024537
"Gel pad, LB",G2,0.949698374,2.57579657,5.31816424,0.008789661,82.92233442
"Gel pad, LB",G2,1.061576546,2.755238824,5.843663651,0.008115825,93.08848504
"Gel pad, LB",G2,1.032563348,3.203167328,5.043605336,0.008093916,56.47548636
"Gel pad, LB",G2,1.012531004,4.727154546,7.837392972,0.012462848,40.73711486
"Gel pad, LB",G2,0.999766968,3.54660593,5.331866664,0.006575631,62.43262792
"Gel pad, LB",G2,0.96824184,4.047723665,7.734740892,0.0082882,78.42968522
"Gel pad, LB",G2,0.943272024,3.90568743,6.816510398,0.009768715,57.27237621
"Gel pad, LB",G2,0.959035718,3.899201944,5.390510934,0.009295509,34.98763923
"Gel pad, LB",G1,1.058063876,2.990633354,5.02522716,0.008598054,60.74123106
"Gel pad, LB",G1,1.167913345,2.881988792,5.837045542,0.008094402,86.76124351
"Gel pad, LB",G1,1.054207295,3.286688856,5.123406355,0.007991402,55.93337743
"Gel pad, LB",G1,1.132658645,3.068832253,4.920202247,0.007703572,60.85479161
"Gel pad, LB",G1,0.991435297,3.332184634,6.246185825,0.008152605,77.44131494
"Gel pad, LB",G1,1.134656788,2.776742799,5.120193779,0.008346908,73.7424642
"Gel pad, LB",G1,1.093208692,2.96407003,5.167551842,0.008211809,68.09890014
"Gel pad, LB",G1,1.160369144,2.908812136,5.480117985,0.007364868,86.46802091
"Gel pad, LB",G1,1.051276901,3.206821174,4.9206619,0.006561253,65.73228125
"Gel pad, LB",G2,1.086454979,3.222532016,5.979302863,0.009907912,62.701865
"Gel pad, LB",G2,1.041202686,2.932994799,4.518621351,0.008945369,48.69538972
"Gel pad, LB",G2,1.054671585,2.913402737,6.159680473,0.010318321,72.89378747
"Gel pad, LB",G2,0.95229499,2.791532618,4.759082339,0.008131342,66.04724864
"Gel pad, LB",G2,1.074248799,2.858480671,5.196460824,0.009586076,62.715136
"Gel pad, LB",G2,1.128179074,3.062218107,5.287967585,0.009851115,55.36012741
"Gel pad, LB",G2,0.944868446,3.024951675,5.0743391,0.006987958,74.50137623
"Gel pad, LB",G2,0.997053003,2.931525146,5.353049054,0.008077319,74.97048711
"Gel pad, LB",G2,0.958262295,2.737974768,4.980767024,0.008988364,66.59856828
"Gel pad, LB",G2,1.060900106,2.894649874,4.586594705,0.006390649,72.56451372
"Gel pad, LB",G2,0.977893661,3.032489711,5.229021809,0.007751455,70.71489229
"Gel pad, LB",G2,0.960129863,3.479588817,5.65765602,0.009527191,51.32400361
"Gel pad, LB",G2,0.965864943,3.306098443,5.037907931,0.00837154,50.38969173
"Gel pad, LB",G2,0.963498433,2.792869061,5.087346719,0.008849089,68.17357399
"Gel pad, LB",G1,1.042439707,2.855933093,5.206843039,0.007706471,77.54237511
"Gel pad, LB",G1,0.978341717,2.911046686,4.959329466,0.007134915,75.15141739
"Gel pad, LB",G1,1.001379351,2.762912486,5.193324443,0.007175321,88.45800557
"Gel pad, LB",G1,0.993795187,3.510185287,5.610205124,0.007753511,60.84616311
"Gel pad, LB",G1,0.993799388,3.144350513,6.192240079,0.006966084,97.74142224
"Gel pad, LB",G1,1.141943644,3.232853165,5.889676422,0.00967438,62.32275387
"Gel pad, LB",G1,1.08708201,2.830329138,4.626513725,0.007451412,66.42365886
"Gel pad, LB",G1,0.971664331,4.628133677,6.437810134,0.008242826,39.77717891
"Gel pad, LB",G1,0.992913011,3.895715286,6.063481834,0.007705634,57.74698197
"Gel pad, LB",G1,1.03399853,4.016234229,5.711410676,0.008802371,40.28622988
"Gel pad, LB",G1,1.045839131,4.330701637,6.57425224,0.009271532,44.77413671
"Gel pad, LB",G1,1.059971211,3.304970178,4.927031108,0.007697639,52.26790642
"Gel pad, LB",G1,1.006469656,3.458962862,7.339819067,0.009427753,80.10823554
"Gel pad, LB",G1,1.060391232,3.133671972,6.696724643,0.007054284,108.1058391
