Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_2,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_3,1_30,1_31,1_32,1_4,1_5,1_6,1_7,1_8,2_1,2_10,2_11,2_12,2_13,2_15,2_16,2_17,2_18,2_19,2_2,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_3,2_30,2_31,2_32,2_4,2_5,2_6,2_7,2_8,2_9
255,7.932467074,0.245989349,,,,,,8.078647389,,,,,,,,,,,7.919942401,7.939805297,7.726950054,,,,7.827637424,,,7.707316214,,,,,,,7.497359334,8.1899879,7.979229501,7.958930472,7.984409653,7.754724728,8.071216565,,7.999510593,7.884748333,8.025251042,7.898527548,8.054449544,8.953265818,,,7.903919567,7.67305713,7.792078687,7.938173926,7.814332112,8.051836181,7.744153916,,7.699052042,7.907925076,,8.223959778,7.844969338,7.861111732
260,7.907585441,0.282430288,,,,,,7.895309985,,,,,,,,,,,7.794135004,,7.629008462,,,,7.849701146,,,7.736887037,,,,,,,7.537049595,8.132269004,7.558303727,8.050750476,7.998709517,7.826383424,8.034984199,,8.046150233,7.728650615,8.001767776,7.954174923,8.01908829,8.890442448,,,7.883101463,7.583511349,7.780929633,7.94226311,7.716843573,,7.762595743,,7.684575028,7.862531218,,8.59360297,7.965754418,7.860503425
265,7.931035195,0.266087315,,,,,,7.796587433,,,,,,,,,,,7.803227876,,7.662332019,,,,7.6715998,,,7.817646763,,,,,,,7.483449643,8.133879833,8.055907179,8.034936391,8.221935387,,7.994681601,,7.898200799,7.698938202,8.056827711,8.062098218,7.815545266,8.768566649,,,8.029413819,7.971726546,7.983451891,7.892919596,7.64695697,,7.839256828,,7.696295863,7.767732988,,8.480838228,,7.852996761
270,7.909021423,0.236106872,,,,,,7.756126342,,,,,,,,,,,7.779538378,,7.574723052,,,,7.70901179,,,7.73469888,,,,,,,7.648303535,7.852935076,8.22056406,8.320886638,8.117183198,,7.938843041,,7.932207602,7.830704883,8.005139488,7.977372504,7.925102375,8.422027102,,,7.740402091,7.790378452,7.918606948,8.020300261,7.612784885,,7.704535228,,7.76754759,7.880342675,,8.503385539,,7.859926802
275,7.942151136,0.301171493,,,,,,7.718483611,,,,,,,,,,,7.7445483,,7.507369669,,,,7.781723074,,,7.783070737,,,,,,,7.761826306,8.243417493,8.283199992,8.112758749,,,7.938934964,,8.07180436,7.805253171,8.058781795,8.087709194,7.776871136,8.868711724,,,7.721693607,7.818930159,7.829256729,,7.997949227,,7.816432547,,7.602134484,7.904083047,,8.556876946,,7.761957391
280,7.91426346,0.203417312,,,,,,,,,,,,,,,,,7.512877651,,,,,,7.731962707,,,7.663178006,,,,,,,7.788714801,8.1492985,8.163152952,8.191476169,,,7.915567279,8.015956723,8.047870616,7.807069587,7.994807314,8.033722732,8.064446787,8.367296285,,,7.857097899,7.893563803,7.785682291,,7.758873687,,,,7.673807308,7.885661424,,,,7.811711598
285,7.911649672,0.230723025,,,,,,,,,,,,,,,,,7.443681519,,,,,,7.754648505,,,7.650609293,,,,,,,7.809568929,8.199464848,8.04506728,8.124228357,,,8.023433286,8.101055623,8.056056191,7.80702464,8.303250391,7.981722188,,8.362401457,,,7.891540343,7.883941596,7.774092912,,7.737911262,,,,7.691685119,7.802345241,,,,7.700914123
290,7.934000296,0.216096825,,,,,,,,,,,,,,,,,7.620108979,,,,,,7.770695914,,,7.546867929,,,,,,,7.723253339,8.234835459,8.11655642,8.262144909,,,7.983849131,8.092808534,8.091326158,7.8336361,8.15054332,7.971495516,,8.362446493,,,7.8964551,7.88721188,7.869896415,,7.78295878,,,,7.873610231,7.800749224,,,,7.742556376
295,7.877054216,0.181157869,,,,,,,,,,,,,,,,,7.813137395,,,,,,7.712973806,,,7.491045219,,,,,,,7.636490723,7.918035649,8.079791767,8.25993504,,,8.011628267,7.838087622,8.10291294,7.853932627,8.016860039,7.786507213,,,,,7.838318455,7.952136391,7.986793394,,7.673728552,,,,7.813624934,7.878090072,,,,
300,7.82509824,0.188682414,,,,,,,,,,,,,,,,,7.800605629,,,,,,7.765793715,,,7.476918597,,,,,,,7.506014491,8.059484125,7.97417001,8.192850326,,,7.784538957,7.944139244,8.052390739,7.694475736,7.999500874,7.701848416,,,,,7.899339775,7.797018307,7.833275166,,7.583709955,,,,7.752014205,7.858778295,,,,
